EVENTID,TYPE,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   _1,TYPE  ,MAG 
749696,ke  ,ISC      ,4/24/1974,2:57:31 AM,28.1717,55.5784,33,,ISC      ,mb    ,4.4
736138,ke  ,ISC      ,10/6/1974,1:22:42 AM,26.6527,56.7905,15.1,,ISC      ,mb    ,4.4
736911,ke  ,ISC      ,10/27/1974,7:35:51 AM,27.4081,55.1874,15,TRUE,ISC      ,mb    ,4.2
733869,ke  ,ISC      ,12/2/1974,9:05:44 AM,28.0184,55.8812,17.5,,ISC      ,mb    ,5.5
731017,de  ,ISC      ,3/7/1975,7:04:44 AM,27.4782,56.324,22.3,,ISC      ,mb    ,5.8
731020,ke  ,ISC      ,3/7/1975,10:42:28 AM,27.6692,56.335,28,TRUE,NEIS     ,mb    ,4.6
731022,ke  ,ISC      ,3/7/1975,12:14:24 PM,27.9504,56.3153,10,TRUE,NEIS     ,mb    ,4.3
731023,ke  ,ISC      ,3/7/1975,1:12:14 PM,28.3291,56.3047,35,TRUE,         ,      ,
731025,ke  ,ISC      ,3/7/1975,2:26:58 PM,27.3927,56.28,25.3,,ISC      ,mb    ,5.3
731029,ke  ,ISC      ,3/7/1975,3:36:43 PM,27.6839,56.379,28,,ISC      ,mb    ,4.7
731032,ke  ,ISC      ,3/7/1975,5:42:29 PM,27.207,56.4072,14.3,,ISC      ,mb    ,4.7
731033,ke  ,ISC      ,3/7/1975,6:58:31 PM,27.2626,56.4714,10,TRUE,ISC      ,mb    ,4.2
731035,ke  ,ISC      ,3/7/1975,8:02:07 PM,28.7207,56.3783,35,TRUE,ISC      ,mb    ,4
731037,ke  ,ISC      ,3/7/1975,8:28:04 PM,27.799,56.416,28,TRUE,ISC      ,mb    ,4
731038,ke  ,ISC      ,3/7/1975,9:04:44 PM,27.6283,56.1753,15,TRUE,ISC      ,mb    ,4
731040,ke  ,ISC      ,3/7/1975,11:25:28 PM,27.7237,56.2864,28,TRUE,ISC      ,mb    ,3.6
731041,ke  ,ISC      ,3/8/1975,12:08:54 AM,27.6737,56.2674,18,TRUE,NEIS     ,mb    ,3.9
731074,ke  ,ISC      ,3/9/1975,6:39:43 AM,27.3188,56.2523,18,TRUE,ISC      ,mb    ,4.8
731090,ke  ,ISC      ,3/9/1975,3:00:10 PM,27.6536,54.9869,20,TRUE,ISC      ,mb    ,4.3
731097,ke  ,ISC      ,3/9/1975,6:22:15 PM,27.2767,56.2559,18,TRUE,ISC      ,mb    ,4.5
730038,ke  ,ISC      ,4/12/1975,4:13:04 AM,27.25,56.4006,10,TRUE,ISC      ,mb    ,4.8
728639,ke  ,ISC      ,5/5/1975,7:47:39 PM,28.0267,55.7807,22,TRUE,ISC      ,mb    ,4.6
729087,ke  ,ISC      ,5/17/1975,4:19:17 PM,27.6293,57.8415,51.2,,ISC      ,mb    ,4.9
729113,ke  ,ISC      ,5/18/1975,2:44:33 PM,27.4938,57.7377,45.5,,ISC      ,mb    ,4.7
727467,ke  ,ISC      ,6/12/1975,2:08:04 PM,27.2072,55.9057,14,TRUE,ISC      ,mb    ,4.3
727505,ke  ,ISC      ,6/13/1975,10:12:51 AM,26.908,54.909,57.9,,ISC      ,mb    ,4.9
727936,ke  ,ISC      ,6/20/1975,9:16:41 AM,26.0778,54.3646,10,TRUE,ISC      ,mb    ,4.6
725560,ke  ,ISC      ,8/27/1975,4:59:32 PM,27.6379,56.1414,31.7,,ISC      ,mb    ,5
723521,ke  ,ISC      ,9/1/1975,4:53:47 PM,27.3869,56.0553,15,TRUE,ISC      ,mb    ,4.5
723632,ke  ,ISC      ,9/4/1975,11:19:36 PM,27.4451,56.1268,14,TRUE,         ,      ,
723633,ke  ,ISC      ,9/4/1975,11:29:14 PM,27.3143,56.1647,15,TRUE,ISC      ,mb    ,4.5
723641,ke  ,ISC      ,9/5/1975,3:49:11 AM,27.6279,55.9394,15,TRUE,ISC      ,mb    ,4.2
723837,ke  ,ISC      ,9/10/1975,1:54:32 PM,28.2227,57.875,100,TRUE,         ,      ,
724180,ke  ,ISC      ,9/19/1975,1:46:17 PM,28.3611,55.4361,22,TRUE,NEIS     ,mb    ,4
724271,ke  ,ISC      ,9/22/1975,11:52:44 AM,28.1734,56.8248,31,TRUE,NEIS     ,mb    ,3.6
724282,ke  ,ISC      ,9/22/1975,11:00:08 PM,27.8704,53.8571,26,TRUE,ISC      ,mb    ,4.8
722616,ke  ,ISC      ,10/7/1975,1:00:11 AM,27.8712,57.3654,35,TRUE,         ,      ,
722676,ke  ,ISC      ,10/8/1975,8:15:49 AM,28.0756,55.6701,23,,ISC      ,mb    ,5.2
722678,ke  ,ISC      ,10/8/1975,9:53:39 AM,28.2561,55.4265,22,TRUE,ISC      ,mb    ,4.7
722737,ke  ,ISC      ,10/10/1975,12:07:21 AM,28.1071,55.3305,22,TRUE,         ,      ,
722755,ke  ,ISC      ,10/10/1975,10:15:00 AM,28.3125,55.2778,22,TRUE,ISC      ,mb    ,4.2
721174,ke  ,ISC      ,11/1/1975,6:01:51 PM,26.8785,56.2619,10,TRUE,ISC      ,mb    ,4.7
721363,ke  ,ISC      ,11/6/1975,10:15:41 AM,27.3234,56.0857,15,TRUE,ISC      ,mb    ,4.9
719937,ke  ,ISC      ,12/1/1975,10:20:09 AM,28.1608,57.7226,10,TRUE,         ,      ,
720512,ke  ,ISC      ,12/17/1975,1:34:53 PM,27.7335,57.3901,30,TRUE,ISC      ,mb    ,4.7
720564,ke  ,ISC      ,12/19/1975,8:02:07 AM,28.697,56.8761,31,TRUE,ISC      ,mb    ,4.7
720571,ke  ,ISC      ,12/19/1975,12:46:34 PM,28.4086,57.0477,31,TRUE,ISC      ,mb    ,4.8
720763,ke  ,ISC      ,12/24/1975,11:35:05 AM,26.7483,55.548,10,TRUE,ISC      ,mb    ,4.6
720764,de  ,ISC      ,12/24/1975,11:48:56 AM,27.0072,55.4627,11.6,,ISC      ,mb    ,5.6
720769,ke  ,ISC      ,12/24/1975,1:07:46 PM,26.752,55.3755,35,TRUE,         ,      ,
720781,ke  ,ISC      ,12/24/1975,6:40:32 PM,26.92,55.5575,12,TRUE,ISC      ,mb    ,4.8
720785,ke  ,ISC      ,12/24/1975,7:55:10 PM,27.0224,55.5442,12,TRUE,ISC      ,mb    ,5
720787,ke  ,ISC      ,12/24/1975,8:50:41 PM,26.7906,55.4278,12,TRUE,ISC      ,mb    ,4.4
720788,ke  ,ISC      ,12/24/1975,8:55:51 PM,27.1315,55.286,10,TRUE,ISC      ,mb    ,4
720789,ke  ,ISC      ,12/24/1975,9:04:12 PM,27.0044,55.5777,12,TRUE,ISC      ,mb    ,4.7
720825,ke  ,ISC      ,12/25/1975,10:00:02 PM,26.8299,55.4867,12,TRUE,ISC      ,mb    ,4.4
720836,ke  ,ISC      ,12/26/1975,1:07:39 AM,26.6491,55.4619,10,TRUE,ISC      ,mb    ,4.4
720843,ke  ,ISC      ,12/26/1975,5:46:42 AM,26.9071,55.3847,12,TRUE,ISC      ,mb    ,4.6
720935,ke  ,ISC      ,12/27/1975,9:08:14 PM,27.5512,55.0841,15,TRUE,ISC      ,mb    ,4.2
721029,ke  ,ISC      ,12/30/1975,1:09:36 AM,26.9166,55.5176,12,TRUE,ISC      ,mb    ,4.8
718524,ke  ,ISC      ,1/2/1976,2:29:08 PM,26.9019,55.6121,12,TRUE,ISC      ,mb    ,4.2
718525,ke  ,ISC      ,1/2/1976,3:08:53 PM,27.196,55.5347,12,TRUE,ISC      ,mb    ,4.5
718193,ke  ,ISC      ,2/24/1976,7:30:54 AM,26.9896,55.9596,14,TRUE,NEIS     ,mb    ,3.8
716282,ke  ,ISC      ,3/7/1976,12:42:36 AM,28.3579,57.2716,30,TRUE,ISC      ,mb    ,4.7
716420,ke  ,ISC      ,3/10/1976,4:39:17 AM,28.3914,57.4495,43,TRUE,ISC      ,mb    ,4.8
716654,ke  ,ISC      ,3/16/1976,7:28:57 AM,27.2616,55.0657,16.3,,ISC      ,mb    ,5.5
716658,ke  ,ISC      ,3/16/1976,9:09:44 AM,27.2305,54.9156,20,TRUE,ISC      ,mb    ,4.5
716674,ke  ,ISC      ,3/16/1976,4:33:22 PM,27.0103,54.82,17,TRUE,         ,      ,
716740,ke  ,ISC      ,3/18/1976,5:56:06 AM,27.2872,54.9299,20,TRUE,ISC      ,mb    ,4.4
716750,ke  ,ISC      ,3/18/1976,5:51:41 PM,27.2473,54.8042,20,TRUE,         ,      ,
716814,ke  ,ISC      ,3/20/1976,9:24:00 AM,27.1552,54.9607,17,TRUE,ISC      ,mb    ,4.8
716948,ke  ,ISC      ,3/22/1976,2:42:41 AM,26.3726,55.0376,17,TRUE,NEIS     ,mb    ,3.9
717288,ke  ,ISC      ,3/31/1976,2:34:19 AM,28.0601,56.8134,25.9,,ISC      ,mb    ,5
715335,ke  ,ISC      ,4/10/1976,11:28:06 PM,26.0212,54.559,10,TRUE,         ,      ,
715860,ke  ,ISC      ,4/24/1976,10:19:48 AM,28.2034,56.7505,31,TRUE,ISC      ,mb    ,4.7
712447,ke  ,ISC      ,6/11/1976,8:32:15 AM,27.1024,57.2947,25,TRUE,NEIS     ,mb    ,4.1
712558,ke  ,ISC      ,6/13/1976,9:33:21 PM,28.0192,55.6264,22,TRUE,ISC      ,mb    ,4.7
709159,ke  ,ISC      ,9/26/1976,7:39:29 PM,27.7696,56.7377,28,TRUE,ISC      ,mb    ,4.4
707537,ke  ,ISC      ,10/24/1976,4:20:57 PM,27.4505,56.7805,10,TRUE,ISC      ,mb    ,5
705613,ke  ,ISC      ,11/6/1976,11:18:50 PM,28.0426,56.9416,24,TRUE,ISC      ,mb    ,4.7
